Type of cement,water to cement ratio,Content of carbon nanotube (%),External diameter of carbon nanotube (nm),Length of carbon nanotube (¦Ìm),Functionalization method,Curing days,Curing temperature (¡æ),Dispersion method,Compressive strength MPa
1,0.45,0,20,250,2,28,30,1,52.3
1,0.45,0.5,20,250,2,28,30,1,62.1
1,0.2,0.1,4,1,1,28,20,2,101.2
1,0.2,0.5,4,1,1,28,20,2,116.9
1,0.2,0.8,4,1,1,28,20,2,74.1
1,0.2,0.1,20,1,1,28,20,2,129.2
1,0.2,0.5,20,1,1,28,20,2,136.4
1,0.2,0.8,20,1,1,28,20,2,138.1
1,0.2,0.1,4,10,1,28,20,2,116.2
1,0.2,0.5,4,10,1,28,20,2,107.6
1,0.2,0.8,4,10,1,28,20,2,113.2
1,0.2,0.1,20,10,1,28,20,2,124.6
1,0.2,0.5,20,10,1,28,20,2,110.7
1,0.2,0.8,20,10,1,28,20,2,121.9
1,0.2,0.1,4,1,3,28,20,2,90.8
1,0.2,0.5,4,1,3,28,20,2,152.1
1,0.2,0.8,4,1,3,28,20,2,93.2
1,0.2,0.1,4,1,2,28,20,2,94.5
1,0.2,0.5,4,1,2,28,20,2,134.8
1,0.2,0.8,4,1,2,28,20,2,82.9
1,0.2,0.1,4,10,3,28,20,2,122.6
1,0.2,0.5,4,10,3,28,20,2,154.4
1,0.2,0.8,4,10,3,28,20,2,120.4
1,0.2,0.1,4,10,2,28,20,2,129.1
1,0.2,0.5,4,10,2,28,20,2,139.1
1,0.2,0.8,4,10,2,28,20,2,141.5
1,0.33,0,40,10,1,28,20,3,84.8
1,0.33,0.025,40,10,1,28,20,3,90.1
1,0.33,0.05,40,10,1,28,20,3,95.6
1,0.33,0.1,40,10,1,28,20,3,97.2
1,0.35,0,30,10,1,28,25,4,77.4
1,0.35,0.05,30,10,1,28,25,4,82.9
1,0.35,0.08,30,10,1,28,25,4,83.1
1,0.35,0.1,30,10,1,28,25,4,84.5
1,0.35,0.12,30,10,1,28,25,4,80.8
1,0.35,0.15,30,10,1,28,25,4,73
1,0.4,0.5,20,500,5,28,30,5,69.4
1,0.4,0.5,20,500,1,28,30,5,72.1
1,0.4,0.03,20,30,1,3,25,2,43.1
1,0.4,0.03,30,30,1,3,25,2,40.1
1,0.4,0.03,50,30,1,3,25,2,39.6
1,0.4,0.03,20,30,1,7,25,2,56.7
1,0.4,0.03,30,30,1,7,25,2,56
1,0.4,0.03,50,30,1,7,25,2,53.2
1,0.4,0.03,20,30,1,28,25,2,72.2
1,0.4,0.03,30,30,1,28,25,2,73.6
1,0.4,0.03,50,30,1,28,25,2,68.6
1,0.4,0.08,20,30,1,3,25,2,43.8
1,0.4,0.08,30,30,1,3,25,2,42.4
1,0.4,0.08,50,30,1,3,25,2,39.4
1,0.4,0.08,20,30,1,7,25,2,52.5
1,0.4,0.08,30,30,1,7,25,2,52.5
1,0.4,0.08,50,30,1,7,25,2,43.6
1,0.4,0.08,20,30,1,28,25,2,65.6
1,0.4,0.08,30,30,1,28,25,2,64.9
1,0.4,0.08,50,30,1,28,25,2,63.5
1,0.4,0.15,20,30,1,3,25,2,35.2
1,0.4,0.15,30,30,1,3,25,2,43.2
1,0.4,0.15,50,30,1,3,25,2,35.7
1,0.4,0.15,20,30,1,7,25,2,63.9
1,0.4,0.15,30,30,1,7,25,2,56.9
1,0.4,0.15,50,30,1,7,25,2,58.3
1,0.4,0.15,20,30,1,28,25,2,82.2
1,0.4,0.15,30,30,1,28,25,2,78
1,0.4,0.15,50,30,1,28,25,2,81
1,0.4,0.25,20,30,1,3,25,2,44
1,0.4,0.25,30,30,1,3,25,2,40.7
1,0.4,0.25,50,30,1,3,25,2,41.2
1,0.4,0.25,20,30,1,7,25,2,62.4
1,0.4,0.25,30,30,1,7,25,2,59.4
1,0.4,0.25,50,30,1,7,25,2,57.3
1,0.4,0.25,20,30,1,28,25,2,84.1
1,0.4,0.25,30,30,1,28,25,2,82.5
1,0.4,0.25,50,30,1,28,25,2,82
1,0.4,0.03,20,1,1,3,25,2,42
1,0.4,0.08,20,1,1,3,25,2,39.5
1,0.4,0.15,20,1,1,3,25,2,40.4
1,0.4,0.25,20,1,1,3,25,2,42.1
1,0.4,0.03,20,1,1,7,25,2,58.7
1,0.4,0.08,20,1,1,7,25,2,51.4
1,0.4,0.15,20,1,1,7,25,2,58
1,0.4,0.25,20,1,1,7,25,2,64
1,0.4,0.03,20,1,1,28,25,2,74.7
1,0.4,0.08,20,1,1,28,25,2,64.3
1,0.4,0.15,20,1,1,28,25,2,74.9
1,0.4,0.25,20,1,1,28,25,2,81.8
2,0.5,0,4,2,1,7,20,1,36.9
2,0.5,0.05,4,2,1,7,20,1,35.1
2,0.5,0.1,4,2,1,7,20,1,32
2,0.5,0.25,4,2,1,7,20,1,35.4
2,0.5,0.5,4,2,1,7,20,1,27.3
2,0.5,0,4,2,1,28,20,1,49.7
2,0.5,0.05,4,2,1,28,20,1,57.3
2,0.5,0.1,4,2,1,28,20,1,52.3
2,0.5,0.25,4,2,1,28,20,1,54
2,0.5,0.5,4,2,1,28,20,1,52
1,0.45,0,10,10,1,28,23,5,53.9
1,0.45,0.044,10,10,1,28,23,5,56.2
1,0.45,0.088,10,10,1,28,23,5,54.9
1,0.45,0.1,10,10,1,28,23,5,58.2
1,0.45,0.2,10,10,1,28,23,5,54.9
1,0.45,0.3,10,10,1,28,23,5,56.2
1,0.45,0.044,10,10,2,28,23,5,55.3
1,0.45,0.088,10,10,2,28,23,5,55.3
1,0.45,0.1,10,10,2,28,23,5,55.6
1,0.45,0.2,10,10,2,28,23,5,54.3
1,0.45,0.3,10,10,2,28,23,5,49.7
1,0.4,0,10,30,1,28,23,2,74.9
1,0.4,0.03,10,30,1,28,23,2,82.2
1,0.4,0.08,10,30,1,28,23,2,80
1,0.4,0.15,10,30,1,28,23,2,86
1,0.4,0.25,10,30,1,28,23,2,91.4
1,0.4,0.35,10,30,1,28,23,2,89.8
1,0.4,0.5,10,30,1,28,23,2,94.3
