stiffness of fiber reinforced polymer (kN/mm),width of fiber reinforced polymer (mm),compressive strength of concrete specimen (MPa),width of groove (mm),depth of groove (mm),interfacial bond strength load kN
12.9,30,26.7,5,5,4.86
12.9,30,26.7,5,5,4.76
12.9,40,37.9,5,5,7.7
12.9,40,37.9,5,5,6.13
12.9,50,27.1,5,5,6.68
12.9,50,27.1,5,5,9.05
12.9,60,32.7,5,5,10.43
12.9,60,32.7,5,5,9.87
25.3,30,39.1,5,5,7.91
25.3,30,39.1,5,5,6.39
25.3,40,22.7,5,5,9.56
25.3,40,22.7,5,5,9.24
25.3,60,28.1,5,5,11.64
25.3,60,28.1,5,5,12.05
39.1,30,26.7,5,5,9.39
39.1,30,26.7,5,5,7.74
39.1,50,32.7,5,5,14.7
39.1,50,32.7,5,5,14.8
78.2,30,39.1,5,5,13.01
78.2,30,39.1,5,5,9.87
78.2,30,48.1,5,5,13.66
78.2,30,48.1,5,5,11.72
78.2,40,22.7,5,5,17.2
78.2,40,22.7,5,5,15
78.2,60,28.1,5,5,20.85
78.2,60,28.1,5,5,19.47
78.2,60,36.5,5,5,25.49
78.2,60,36.5,5,5,24.5
12.9,40,22.7,5,10,7.72
12.9,40,22.7,5,10,7.02
12.9,60,26.7,5,10,9.35
12.9,60,26.7,5,10,9.68
12.9,60,32.7,5,10,10.78
12.9,60,32.7,5,10,10.04
25.3,30,26.7,5,10,8.19
25.3,30,26.7,5,10,6.21
25.3,30,48.1,5,10,8.56
25.3,30,48.1,5,10,6.61
25.3,50,36.5,5,10,11.1
25.3,50,36.5,5,10,10.81
25.3,60,45.3,5,10,10.71
25.3,60,45.3,5,10,11.25
39.1,30,39.1,5,10,10.53
39.1,30,39.1,5,10,8.12
39.1,40,22.7,5,10,10.41
39.1,40,22.7,5,10,11.48
39.1,60,26.7,5,10,13.98
39.1,60,26.7,5,10,15.54
39.1,60,32.7,5,10,18.18
39.1,60,32.7,5,10,15.1
78.2,30,26.7,5,10,10.61
78.2,30,26.7,5,10,11.25
78.2,50,26.7,5,10,22.66
78.2,50,26.7,5,10,18.49
78.2,60,48.2,5,10,19.09
78.2,60,48.2,5,10,19.4
12.9,30,48.1,10,10,5.95
12.9,30,48.1,10,10,4.87
12.9,40,22.7,10,10,7.68
12.9,40,22.7,10,10,7.67
12.9,50,48.2,10,10,9.5
12.9,50,48.2,10,10,7.53
12.9,60,32.7,10,10,10.1
12.9,60,32.7,10,10,10.92
12.9,60,45.3,10,10,8.72
12.9,60,45.3,10,10,9.47
25.3,40,37.9,10,10,9.87
25.3,40,37.9,10,10,9.35
25.3,40,37.9,10,10,9.51
25.3,50,26.7,10,10,12.06
25.3,50,26.7,10,10,13.3
25.3,50,28.1,10,10,11.81
25.3,50,28.1,10,10,11.34
25.3,60,47.9,10,10,13.91
25.3,60,47.9,10,10,11.43
39.1,30,39.1,10,10,9.72
39.1,30,39.1,10,10,7.72
39.1,40,22.7,10,10,10.74
39.1,40,22.7,10,10,11.18
39.1,40,47.9,10,10,9.63
39.1,40,47.9,10,10,11.2
39.1,50,30.8,10,10,13.16
39.1,50,30.8,10,10,13.27
39.1,50,36.5,10,10,14.07
39.1,50,36.5,10,10,14.84
39.1,60,26.7,10,10,16.47
39.1,60,26.7,10,10,14.14
78.2,30,26.7,10,10,14.21
78.2,30,26.7,10,10,11.64
78.2,30,48.1,10,10,12.77
78.2,30,48.1,10,10,10.2
78.2,40,37.9,10,10,15.55
78.2,40,37.9,10,10,16.56
78.2,50,26.7,10,10,20.03
78.2,50,26.7,10,10,20.27
78.2,50,47.9,10,10,16.34
78.2,50,47.9,10,10,17.08
78.2,60,48.2,10,10,20.09
78.2,60,48.2,10,10,18.01
12.9,30,27,10,15,5.46
12.9,30,27,10,15,6.07
12.9,40,37.9,10,15,6.67
12.9,40,37.9,10,15,8.19
12.9,60,27.1,10,15,11.11
12.9,60,27.1,10,15,10.02
12.9,60,36.9,10,15,10.21
12.9,60,36.9,10,15,10.03
12.9,60,45.3,10,15,9.25
12.9,60,45.3,10,15,8.98
25.3,30,39.1,10,15,7.16
25.3,30,39.1,10,15,7.35
25.3,50,27.1,10,15,11.6
25.3,50,27.1,10,15,10.68
25.3,50,27.1,10,15,10.74
25.3,50,27.1,10,15,11.04
25.3,60,28.1,10,15,14.34
25.3,60,28.1,10,15,13.03
39.1,30,26.7,10,15,8.39
39.1,30,26.7,10,15,9.24
39.1,40,22.7,10,15,9.61
39.1,40,22.7,10,15,12.35
39.1,50,27.1,10,15,12.09
39.1,50,27.1,10,15,13.72
39.1,50,27.1,10,15,13.23
39.1,60,45.3,10,15,14.93
39.1,60,45.3,10,15,14.95
78.2,30,26.7,10,15,11.25
78.2,30,26.7,10,15,10.74
78.2,40,27.1,10,15,14.77
78.2,40,27.1,10,15,16.88
78.2,40,37.9,10,15,15.77
78.2,40,37.9,10,15,17.65
78.2,60,28.1,10,15,19.26
78.2,60,28.1,10,15,20.76
78.2,60,36.5,10,15,18.99
78.2,60,36.5,10,15,21.79
