model,label,r2,mse,rmse,mae,seed
subset__flexural_strength,Flexural strength,0.15168396234596848,22.845108370134763,4.779655674850937,4.0209348896009836,10
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,10
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,10
subset__flexural_strength,Flexural strength,0.21186925140655943,21.224321552665884,4.6069861680567135,3.876518367966452,20
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,20
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,20
subset__flexural_strength,Flexural strength,0.1864931895884846,21.90769762539031,4.680565951398432,3.941021360770114,30
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,30
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,30
subset__flexural_strength,Flexural strength,0.21735020647827896,21.076719707330575,4.590938869918721,3.872723528632051,40
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,40
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,40
subset__flexural_strength,Flexural strength,0.19061966972806466,21.796571722081193,4.6686798693079385,3.9409909731229,50
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,50
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,50
subset__flexural_strength,Flexural strength,0.21508561654782432,21.137705000639684,4.597575991828704,3.851452464089148,60
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,60
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,60
subset__flexural_strength,Flexural strength,0.22188544631070284,20.954585925983242,4.577617931411843,3.8227445064124295,70
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,70
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,70
subset__flexural_strength,Flexural strength,0.19752986713215526,21.610480452379353,4.648707395866011,3.882040188707404,80
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,80
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,80
subset__flexural_strength,Flexural strength,0.14843361050209714,22.93264018235849,4.788803627458375,4.05842090615153,90
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,90
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,90
subset__flexural_strength,Flexural strength,0.16143878253202082,22.58241155150827,4.752095490571319,3.982818567306343,100
catboost,Flexural strength,0.3418881020073632,17.72292042349485,4.20985990544755,3.2865861283363724,100
mt_extra_trees,Flexural strength,0.16365175314908986,22.522816363721095,4.745820936752787,3.9030690383728723,100
